Data,wig_banki,wig_budow,wig_chemia,wig_energ,wig_gornic,wig_gry,wig_info,wig_leki,wig_media,wig_moto,wig_nrchom,wig_odziez,wig_paliwa,wig_spozyw,10yply,wig
2023-05-31,6951.8,4934.7,9485.35,2144.2,3703.41,13977.47,4531.09,2926.75,7580.83,7626.18,3271.0,6599.82,5687.73,2215.53,6.022,62285.97
2023-06-30,7961.79,5257.04,10777.16,2328.51,3976.05,16808.25,4573.17,2920.65,7451.67,8304.87,3461.44,7454.96,6075.77,2152.65,5.76,67283.22
2023-07-31,8824.36,5785.14,10505.27,2781.0,4360.54,17437.52,4803.16,3050.2,7724.15,9290.25,3873.11,7752.77,6717.13,2231.55,5.415,72268.53
2023-08-31,8185.92,5914.07,9648.36,2830.12,3993.01,16367.28,4475.7,2901.69,7424.34,8392.7,3780.16,7631.73,6436.88,2190.32,5.57,68431.46
2023-09-30,7656.52,5867.43,10350.67,2503.18,4020.71,14675.41,4473.0,2869.2,7053.8,8637.72,3761.45,7103.76,6018.72,2106.6,5.899,65397.43
2023-10-31,9592.59,6219.35,9594.78,2488.92,4102.74,12433.7,4458.71,2798.12,7458.91,8712.01,3803.25,7331.8,6790.42,2130.91,5.654,71582.26
2023-11-30,10545.9,6916.48,9425.13,2775.61,4056.29,12558.05,4506.63,2816.83,7626.35,8969.71,3747.62,8213.53,6048.7,2150.76,5.502,74264.07
2023-12-31,11062.01,7628.56,10434.67,2806.75,4315.32,12882.05,4616.29,2768.4,8328.8,9254.33,3545.06,8962.9,6697.89,2202.63,5.217,78459.91
2024-01-31,11241.72,8145.21,10163.58,2760.43,4028.48,12326.79,4609.63,2764.97,8267.02,8607.39,3853.23,8631.14,6420.54,2321.27,5.226,77416.31
2024-02-29,12835.19,8520.9,9784.97,2672.19,3862.97,12488.36,4732.6,2702.21,8378.5,9015.33,3821.07,10058.9,6353.84,2274.83,5.312,81944.56
2024-03-31,13524.76,8498.15,9816.89,2419.55,4000.49,12824.15,4835.69,2736.58,8764.0,8844.7,4230.23,8746.28,6659.93,2185.81,5.432,82745.58
